VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/10/2016 12:32,3/10/2016 12:55,1,1.98,-73.96606445,40.7587204,1,N,-73.96170807,40.77955246,1,15.0,0.0,0.5,3.16,0.0,0.3,18.96
1,3/1/2016 8:56,3/1/2016 9:09,1,1.5,-74.00679779,40.73095322,1,N,-73.99359894,40.74689865,2,9.5,0.0,0.5,0.0,0.0,0.3,10.3
1,3/2/2016 5:41,3/2/2016 5:44,1,0.9,-73.9927597,40.75793839,1,N,-74.00208282,40.74531174,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,3/10/2016 17:10,3/10/2016 18:02,1,12.54,-73.98435974,40.76856995,1,N,-73.88565063,40.77318954,1,41.0,1.0,0.5,9.67,5.54,0.3,58.01
2,3/1/2016 22:39,3/1/2016 22:59,1,5.12,-73.98823547,40.74817276,1,N,-73.96443939,40.71732712,1,18.0,0.5,0.5,4.82,0.0,0.3,24.12
1,3/1/2016 12:33,3/1/2016 12:45,1,2.6,-73.95617676,40.78155136,1,N,-73.96432495,40.75535965,2,11.0,0.0,0.5,0.0,0.0,0.3,11.8
2,3/1/2016 3:00,3/1/2016 3:18,2,7.85,-74.00363159,40.7263031,1,N,-73.95397949,40.8196106,1,24.0,0.5,0.5,1.0,0.0,0.3,26.3
2,3/2/2016 8:29,3/2/2016 8:39,1,1.29,-73.98435211,40.73313141,1,N,-74.00515747,40.74092102,1,8.0,0.0,0.5,2.64,0.0,0.3,11.44
2,3/2/2016 8:45,3/2/2016 9:09,1,1.77,-73.97855377,40.76213074,1,N,-73.98677826,40.74436188,1,15.0,0.0,0.5,4.74,0.0,0.3,20.54
1,3/2/2016 13:27,3/2/2016 13:54,1,15.7,-73.78865051,40.64712524,2,Y,-73.97915649,40.74629211,1,52.0,0.0,0.5,0.05,5.54,0.3,58.39
1,3/2/2016 9:07,3/2/2016 9:32,1,4.4,-73.98802948,40.74924469,1,N,-74.0148468,40.71121216,2,20.0,0.0,0.5,0.0,0.0,0.3,20.8
1,3/1/2016 19:54,3/1/2016 20:10,1,3.8,-73.97662354,40.75665665,1,N,-73.91926575,40.74305344,1,15.5,0.5,0.5,2.0,0.0,0.3,18.8
