VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/1/2016 22:13,3/1/2016 22:23,1,2.48,-73.98619843,40.74623871,1,N,-74.00418091,40.72089005,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56
2,3/1/2016 23:56,3/2/2016 0:17,1,4.7,-73.98531342,40.73161697,1,N,-73.98477936,40.67181778,1,18.0,0.5,0.5,4.82,0.0,0.3,24.12
2,3/3/2016 11:23,3/3/2016 12:11,1,2.6,-73.98206329,40.77351379,1,N,-73.95939636,40.77103043,1,27.0,0.0,0.5,8.34,0.0,0.3,36.14
2,3/1/2016 13:52,3/1/2016 14:09,6,4.28,-74.01615143,40.71471024,1,N,-73.98944855,40.76824188,1,16.0,0.0,0.5,4.2,0.0,0.3,21.0
2,3/3/2016 8:31,3/3/2016 8:40,1,0.11,-74.01407623,40.7106781,1,N,-74.01345825,40.70801926,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
2,3/3/2016 9:56,3/3/2016 10:18,1,1.98,-73.98612213,40.7432518,1,N,-73.97068024,40.76493073,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,3/1/2016 14:17,3/1/2016 14:39,6,4.36,-74.01155853,40.70364761,1,N,-73.99472046,40.75037766,1,17.5,0.0,0.5,3.66,0.0,0.3,21.96
1,3/3/2016 12:26,3/3/2016 12:31,1,0.9,-73.98800659,40.75465012,1,N,-73.97916412,40.76145554,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,3/2/2016 17:19,3/2/2016 17:24,1,1.2,-74.00888062,40.73078537,1,N,-74.00794983,40.71687317,1,6.0,1.0,0.5,1.55,0.0,0.3,9.35
2,3/1/2016 18:11,3/1/2016 18:14,1,0.57,-73.98791504,40.76468658,1,N,-73.98094177,40.76757813,1,4.0,1.0,0.5,1.16,0.0,0.3,6.96
2,3/2/2016 1:09,3/2/2016 1:33,1,6.49,-73.97963715,40.75904083,1,N,-73.97807312,40.68001938,1,22.5,0.5,0.5,0.0,0.0,0.3,23.8
2,3/10/2016 9:31,3/10/2016 9:39,1,1.5,-73.96365356,40.7710495,1,N,-73.94538879,40.77531052,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
2,3/1/2016 6:46,3/1/2016 6:59,1,3.04,-73.99114227,40.73926163,1,N,-74.00746155,40.7059288,1,12.0,0.0,0.5,1.28,0.0,0.3,14.08
1,3/2/2016 15:05,3/2/2016 15:23,1,1.5,-73.96962738,40.75684738,1,N,-73.98550415,40.74665833,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
2,3/1/2016 13:59,3/1/2016 14:29,1,13.48,-73.86358643,40.76975632,1,N,-73.85874176,40.83755112,2,38.5,0.0,0.5,0.0,5.54,0.3,44.84
2,3/2/2016 10:08,3/2/2016 10:18,1,0.99,-73.95936584,40.77143097,1,N,-73.95163727,40.78371811,1,8.5,0.0,0.5,2.79,0.0,0.3,12.09
2,3/1/2016 20:42,3/1/2016 20:51,1,2.73,-73.98962402,40.75230026,1,N,-74.00824738,40.71673965,1,10.0,0.5,0.5,2.26,0.0,0.3,13.56
2,3/10/2016 9:12,3/10/2016 9:26,1,2.07,-73.98989868,40.74700165,1,N,-73.99593353,40.76470947,1,11.5,0.0,0.5,3.08,0.0,0.3,15.38
2,3/2/2016 15:38,3/2/2016 15:40,2,0.5,-73.98522949,40.746521,1,N,-73.99182892,40.74406052,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
2,3/10/2016 7:26,3/10/2016 7:47,3,4.84,-74.01079559,40.7203598,1,N,-73.9770813,40.76435089,1,19.0,0.0,0.5,2.0,0.0,0.3,21.8
1,3/2/2016 16:16,3/2/2016 16:20,2,0.7,-73.98669434,40.77177811,1,N,-73.97950745,40.78178024,1,5.0,1.0,0.5,1.35,0.0,0.3,8.15
1,3/1/2016 13:59,3/1/2016 13:59,1,2.2,-73.95240021,40.74660873,1,N,-73.95240784,40.74663162,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3
2,3/1/2016 15:11,3/1/2016 15:14,6,0.49,-73.9704895,40.76150894,1,N,-73.9747467,40.7550087,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76
1,3/2/2016 7:40,3/2/2016 7:51,2,1.4,-73.92302704,40.7712326,1,N,-73.92390442,40.75592041,1,8.5,0.0,0.5,1.0,0.0,0.3,10.3
2,3/3/2016 11:57,3/3/2016 12:11,1,1.15,-73.97837067,40.76301193,1,N,-73.99629211,40.76818848,1,10.0,0.0,0.5,2.16,0.0,0.3,12.96
2,3/10/2016 10:33,3/10/2016 10:37,1,0.71,-73.96299744,40.77514267,1,N,-73.96208191,40.7684288,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,3/1/2016 22:55,3/1/2016 23:00,6,0.86,-73.99632263,40.73712921,1,N,-73.98207092,40.73191833,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,3/10/2016 11:14,3/10/2016 11:35,1,1.85,-73.97937012,40.76140976,1,N,-73.98622131,40.74056244,1,14.0,0.0,0.5,2.96,0.0,0.3,17.76
2,3/2/2016 13:47,3/2/2016 13:54,4,1.24,-73.95252991,40.7684288,1,N,-73.95871735,40.78089142,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,3/2/2016 21:03,3/2/2016 21:09,1,0.8,-73.99293518,40.73370743,1,N,-73.98255157,40.73584747,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
1,3/2/2016 23:06,3/2/2016 23:11,2,1.0,-73.99269104,40.72444916,1,N,-73.99707031,40.7120018,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
2,3/1/2016 21:30,3/1/2016 21:41,1,2.01,-74.00486755,40.71892929,1,N,-74.00817108,40.73888016,1,9.5,0.5,0.5,2.7,0.0,0.3,13.5
1,3/2/2016 11:35,3/2/2016 11:43,1,0.8,-73.97097015,40.74734497,1,N,-73.97755432,40.75450897,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
2,3/1/2016 0:00,3/1/2016 0:17,1,10.2,-73.87453461,40.7741127,1,N,-74.00366211,40.71591187,1,29.0,0.5,0.5,6.06,0.0,0.3,36.36
2,3/1/2016 9:40,3/1/2016 9:46,5,0.74,-73.97711945,40.78752899,1,N,-73.97589111,40.79386139,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
2,3/2/2016 9:22,3/2/2016 9:27,2,0.85,-73.94425201,40.78037262,1,N,-73.95559692,40.77967453,1,5.0,0.0,0.5,0.5,0.0,0.3,6.3
2,3/1/2016 16:08,3/1/2016 16:14,6,1.21,-73.97132111,40.76433945,1,N,-73.95982361,40.7795105,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3
2,3/1/2016 13:43,3/1/2016 13:59,1,6.54,-73.96224976,40.76749039,1,N,-74.00801849,40.70632172,1,21.0,0.0,0.5,4.36,0.0,0.3,26.16
1,3/1/2016 14:00,3/1/2016 14:16,1,4.5,-73.96253204,40.75882721,1,N,-73.99124146,40.72452164,1,16.5,0.0,0.5,3.45,0.0,0.3,20.75
2,3/10/2016 11:56,3/10/2016 12:02,1,0.98,-73.99299622,40.74808121,1,N,-74.003685,40.74121475,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,3/10/2016 7:20,3/10/2016 7:33,1,4.04,-73.9910965,40.7555809,1,N,-73.96244049,40.80487061,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16
2,3/2/2016 13:23,3/2/2016 13:43,1,9.24,-73.95475006,40.76581955,1,N,-73.86470795,40.77022934,1,27.5,0.0,0.5,6.77,5.54,0.3,40.61
2,3/2/2016 22:59,3/2/2016 23:00,1,0.08,-73.98570251,40.7620697,1,N,-73.98473358,40.76131058,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3
2,3/10/2016 16:37,3/10/2016 16:39,2,0.74,-73.96727753,40.7933197,1,N,-73.97403717,40.78401947,1,4.0,1.0,0.5,1.74,0.0,0.3,7.54
2,3/3/2016 7:56,3/3/2016 8:03,1,1.21,-73.95372009,40.7708931,1,N,-73.94966125,40.78476334,1,6.5,0.0,0.5,2.0,0.0,0.3,9.3
2,3/2/2016 17:52,3/2/2016 17:58,2,1.0,-73.99356842,40.76726913,1,N,-73.99025726,40.75759125,1,6.0,1.0,0.5,1.56,0.0,0.3,9.36
2,3/10/2016 12:14,3/10/2016 12:48,2,4.41,-73.96898651,40.76984406,1,N,-74.00693512,40.72873306,1,23.0,0.0,0.5,7.14,0.0,0.3,30.94
2,3/2/2016 12:33,3/2/2016 12:48,5,1.49,-73.9734726,40.75825119,1,N,-73.98670197,40.74187088,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3
1,3/2/2016 8:41,3/2/2016 9:03,1,2.6,-73.96556854,40.79069519,1,N,-73.97620392,40.76220703,1,15.0,0.0,0.5,3.15,0.0,0.3,18.95
2,3/1/2016 14:21,3/1/2016 14:33,2,1.99,-73.9717865,40.75437927,1,N,-73.95622253,40.77857208,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
1,3/1/2016 18:31,3/1/2016 18:39,3,1.8,-73.97890472,40.76414108,1,N,-73.95914459,40.78037262,1,8.5,1.0,0.5,2.06,0.0,0.3,12.36
1,3/2/2016 17:05,3/2/2016 17:07,1,0.4,-73.99795532,40.7508812,1,N,-73.99047852,40.74783707,1,3.5,1.0,0.5,1.05,0.0,0.3,6.35
2,3/2/2016 1:27,3/2/2016 1:32,2,1.27,-73.99320984,40.74758148,1,N,-73.9799118,40.73646545,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
2,3/10/2016 17:11,3/10/2016 17:19,1,1.07,-73.96159363,40.77991867,1,N,-73.95116425,40.77188873,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
2,3/1/2016 5:02,3/1/2016 5:12,1,2.38,-73.99012756,40.74607849,1,N,-73.97995758,40.77386093,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8
2,3/2/2016 21:31,3/2/2016 21:41,1,1.21,-73.97946167,40.75302124,1,N,-73.98394012,40.76473999,1,8.5,0.5,0.5,0.98,0.0,0.3,10.78
2,3/10/2016 12:34,3/10/2016 12:53,1,1.49,-73.97811127,40.75213623,1,N,-73.98739624,40.76450729,1,12.5,0.0,0.5,3.32,0.0,0.3,16.62
1,3/1/2016 14:42,3/1/2016 14:48,2,1.2,-73.78990173,40.64684296,1,N,-73.78960419,40.64284134,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
2,3/1/2016 8:57,3/1/2016 9:05,1,0.78,-73.98292542,40.75654602,1,N,-73.98265839,40.7650795,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2,3/1/2016 22:45,3/1/2016 23:13,1,17.59,-73.78990936,40.64713287,2,N,-73.98730469,40.71863174,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
2,3/3/2016 12:01,3/3/2016 12:11,1,1.24,-73.99136353,40.75009155,1,N,-73.98107147,40.7594986,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2,3/2/2016 18:47,3/2/2016 19:13,1,9.42,-73.8632431,40.76998901,1,N,-73.96198273,40.77645874,1,30.0,1.0,0.5,9.34,5.54,0.3,46.68
1,3/1/2016 10:46,3/1/2016 10:59,1,2.3,-74.00400543,40.73347473,1,N,-74.01490021,40.70466995,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
2,3/2/2016 19:06,3/2/2016 19:23,2,1.76,-73.97096252,40.76024628,1,N,-73.98413849,40.77537155,1,11.5,1.0,0.5,2.66,0.0,0.3,15.96
2,3/1/2016 19:54,3/1/2016 20:05,1,1.43,-73.96949005,40.76609421,1,N,-73.9833374,40.75001144,1,8.5,1.0,0.5,0.0,0.0,0.3,10.3
2,3/3/2016 10:50,3/3/2016 10:54,1,0.7,-74.0068512,40.73007965,1,N,-73.99742889,40.73265839,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
